jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
57.0343,6,6,32.4567,89.4907,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0581,0.3518,0.9327,1.7687,0.1782,,,,
37.6034,9,9,34.1014,71.7044,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.2352,1.2898,1.2595,3.5628,2.1298,0.3386,0.6657,0.4105,
53.1970,6,6,19.9031,73.1001,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.3028,2.7843,2.8366,0.6773,0.0227,,,,
54.4311,6,6,23.3048,77.7359,completed,81377.36,49916.91,0.5890,0.00,0.0000,1.0861,2.7107,6.2685,1.4782,1.1876,,,,
50.4344,7,6,29.3075,79.7416,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.4165,1.6407,4.0761,0.5907,0.0447,,,,
38.4956,9,9,57.3557,95.8507,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.2884,0.3362,1.4250,2.5609,0.6423,1.2632,0.4598,0.3581,
31.1191,10,3,13.3489,44.4679,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.4055,0.0122,,,,,,,
37.3877,9,8,37.8426,75.2297,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.3076,0.3696,3.2059,2.6538,0.1777,0.6130,0.0733,,
54.6411,6,6,24.1688,78.8099,completed,81377.36,49916.91,0.5890,0.00,0.0000,1.4044,3.5774,6.5227,1.3870,1.0901,,,,
27.2249,10,10,42.1269,69.3509,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.0966,0.4338,0.1935,3.7547,0.8420,0.6344,1.3552,0.2686,0.0593
54.4996,6,6,29.5050,84.0040,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.2722,0.8639,0.9077,0.2322,0.2019,,,,
56.5994,6,6,30.9419,87.5410,completed,81377.36,49916.91,0.5890,0.00,0.0000,1.9589,5.2356,8.1428,2.8096,1.4079,,,,
