jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
46.6155,7,7,41.2521,87.8672,converged,81377.36,49916.91,0.5889,0.00,0.0000,0.4645,0.9569,5.0909,0.7857,0.1318,0.0275,,,
32.1562,10,4,61.0691,93.2251,deadline,81377.36,49916.91,0.5889,0.00,0.0000,0.2447,0.1623,0.9932,,,,,,
51.9391,7,5,41.7021,93.6411,deadline,81377.36,49916.91,0.5890,0.00,0.0000,0.0255,0.9146,4.4312,1.3027,,,,,
33.0781,10,9,50.0624,83.1404,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.4053,0.3492,2.0214,2.8852,0.3014,0.3422,0.1277,0.0201,
24.2659,10,8,41.5040,65.7691,converged,81377.36,49916.91,0.5889,0.00,0.0000,0.3919,0.3317,2.4858,3.2348,0.3766,0.1655,0.0626,,
47.0130,7,7,39.9570,86.9700,converged,81377.36,49916.91,0.5889,0.00,0.0000,0.1118,0.5081,4.1241,1.5489,0.1892,0.0372,,,
21.7082,10,10,54.6336,76.3417,completed,81377.36,49916.91,0.5889,0.00,0.0000,0.4313,1.3659,2.2538,2.6202,5.6523,0.7928,0.7164,0.4959,0.3060
40.3020,8,8,44.4389,84.7399,converged,81377.36,49916.91,0.5889,0.00,0.0000,0.5559,0.9531,5.0671,0.7018,0.9443,0.1062,0.0415,,
59.1693,5,5,33.3786,92.5476,completed,81377.36,49916.91,0.5889,0.00,0.0000,1.1554,5.9001,0.9936,0.1873,,,,,
44.8692,8,8,47.2044,92.0735,completed,81377.36,49916.91,0.5889,0.00,0.0000,0.0818,0.9531,0.4559,5.8772,0.9582,1.0795,0.5931,,
34.7619,9,7,27.8000,62.5610,converged,81377.36,49916.91,0.5889,0.00,0.0000,0.6159,0.6018,2.9465,1.2318,0.1156,0.0475,,,
37.7942,9,8,43.5885,81.3826,converged,81377.36,49916.91,0.5889,0.00,0.0000,1.1980,1.5328,3.2600,1.3994,0.1771,0.4066,0.0193,,
27.0465,10,9,41.1003,68.1464,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.7540,0.9674,2.9923,3.1331,0.3115,0.3621,0.1966,0.0235,
23.0159,10,3,13.4415,36.4566,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.2619,0.0562,,,,,,,
45.5044,8,6,28.0307,73.5347,converged,81377.36,49916.91,0.5889,0.00,0.0000,1.2996,3.1515,2.9437,0.4540,0.0415,,,,
49.8930,7,6,45.5082,95.4002,deadline,81377.36,49916.91,0.5889,0.00,0.0000,0.0915,1.5405,1.3228,3.1844,1.1176,,,,
59.4327,5,5,21.4564,80.8885,converged,81377.36,49916.91,0.5889,0.00,0.0000,1.1735,6.4612,1.0903,0.0523,,,,,
35.5765,9,9,50.6305,86.2065,completed,81377.36,49916.91,0.5889,0.00,0.0000,0.1673,1.3302,0.9332,1.5845,1.9769,0.3455,0.5311,0.4021,
52.3304,6,6,43.3847,95.7148,completed,81377.36,49916.91,0.5889,0.00,0.0000,0.2931,1.4308,3.1342,1.8508,0.1201,,,,
26.8232,10,10,64.3952,91.2183,completed,81377.36,49916.91,0.5889,0.00,0.0000,0.5154,1.5888,2.1420,0.5648,0.6862,1.3951,1.0130,0.5175,0.3090
58.9586,5,5,30.0987,89.0567,converged,81377.36,49916.91,0.5889,0.00,0.0000,2.4377,5.4383,0.6419,0.0417,,,,,
53.5936,6,6,40.4418,94.0349,completed,81377.36,49916.91,0.5889,0.00,0.0000,0.8232,3.5571,2.5608,1.6521,0.7264,,,,
35.3107,9,9,44.1085,79.4185,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.2078,1.4005,2.4835,5.5965,2.1569,1.3463,1.1221,0.3985,
36.6664,9,8,43.2005,79.8666,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.1331,0.4756,1.8550,4.3149,1.0690,0.3988,0.0297,,
30.7462,10,9,34.3991,65.1452,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.2109,0.3294,0.1565,4.2679,0.1141,0.5597,0.9654,0.0994,
57.5774,6,6,40.0477,97.6247,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.2016,1.6210,0.2655,0.6972,0.4982,,,,
25.1423,10,10,57.1944,82.3364,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0867,0.3078,0.6911,1.1561,0.4071,0.8310,0.5421,0.4653,0.2402
44.7942,8,8,49.1388,93.9328,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.1370,0.6071,0.8260,1.2431,2.3633,1.6557,0.7194,,
