jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
46.8969,7,7,39.9677,86.8637,converged,81377.37,49916.91,0.5889,0.00,0.0000,0.4993,1.2053,6.2950,1.1149,0.5064,0.0181,,,
20.4866,10,10,64.1369,84.6230,completed,81377.37,49916.91,0.5889,0.00,0.0000,0.3472,1.3664,2.5469,3.0020,4.9483,1.5826,1.0715,0.5950,0.2719
23.3508,10,8,50.0467,73.3968,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.7434,1.0167,2.7749,2.1146,0.3102,0.1130,0.0268,,
23.7814,10,10,44.7728,68.5539,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.2078,0.2244,0.7976,5.3054,0.6480,0.7432,1.0226,0.1535,0.0186
24.2846,10,10,35.6391,59.9231,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.1393,0.6939,0.1522,4.1280,0.5648,1.6157,1.2714,0.1628,0.0462
59.0915,5,5,18.6194,77.7105,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.3524,4.1677,0.9555,0.0456,,,,,
33.6812,10,7,22.5049,56.1859,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.6786,0.6652,2.1925,2.4287,0.3203,0.0793,,,
32.1821,10,4,25.8484,58.0304,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.3178,0.3755,0.0401,,,,,,
36.8253,9,7,54.8332,91.6583,deadline,81377.36,49916.91,0.5890,0.00,0.0000,0.3831,0.5642,3.5660,1.7361,0.1668,0.1032,,,
40.3713,8,8,36.9544,77.3254,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.6832,2.6766,3.3475,6.2566,2.0966,1.2932,0.5338,,
43.8046,8,8,49.8347,93.6387,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.1494,0.5117,1.6822,2.9505,0.2500,0.3124,0.1447,,
23.0492,10,9,36.0861,59.1351,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.6095,0.5489,2.0928,4.4146,0.4507,0.5565,0.1155,0.0154,
