jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
43.9284,8,8,44.1041,88.0321,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0255,0.4569,0.9024,0.1638,0.4738,0.1958,0.4066,,
37.4268,9,9,49.3536,86.7796,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0169,0.1298,0.6873,0.8315,1.0415,0.2151,0.5014,0.4744,
32.5444,10,3,15.9408,48.4849,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.0128,0.0867,,,,,,,
58.8747,5,5,31.4543,90.3283,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0992,1.2143,1.0191,0.9289,,,,,
26.3536,10,3,14.3036,40.6566,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.0128,0.0867,,,,,,,
53.8075,6,6,31.4107,85.2178,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0541,0.7737,1.5413,0.4717,0.7248,,,,
41.0145,8,8,41.6807,82.6947,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0232,0.2132,0.9394,1.2474,0.4282,0.5299,0.5463,,
28.9071,10,8,45.3680,74.2750,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.0087,0.1949,0.7063,0.4897,0.1478,0.4617,0.0674,,
36.8099,9,9,44.1245,80.9336,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0168,0.1298,0.6872,0.8314,1.0415,0.2151,0.5014,0.4744,
20.5344,10,3,18.7011,39.2351,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.0128,0.0867,,,,,,,
21.2279,10,8,47.7821,69.0091,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.0087,0.1949,0.7062,0.4896,0.1478,0.4618,0.0674,,
58.9515,5,5,27.7557,86.7067,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.2003,1.1698,0.6254,0.3789,,,,,
56.1375,6,6,23.1322,79.2692,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0944,1.0924,0.2256,0.4146,0.4079,,,,
