jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
28.8083,10,3,10.4524,39.2604,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0893,0.0911,,,,,,,
30.6650,10,3,11.7374,42.4025,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0581,0.0806,,,,,,,
49.3702,7,7,25.8619,75.2319,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.2008,0.4768,2.2894,1.8549,1.3741,0.3333,,,
21.1277,10,8,25.0129,46.1399,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.1115,0.2590,1.1143,10.0420,16.4746,1.2073,0.0698,,
36.3607,9,9,29.5538,65.9138,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1041,0.1118,0.3271,1.3749,0.5283,0.3558,0.2183,0.2020,
39.4361,9,9,29.3499,68.7859,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0965,0.1530,0.8816,3.4750,6.9688,2.8426,0.9145,0.2160,
58.9042,5,5,19.6893,78.5933,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.2545,1.4020,1.7268,0.8735,,,,,
42.7421,8,8,26.9633,69.7053,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0884,0.1849,0.9691,1.6447,1.2566,0.6180,0.2142,,
59.6819,5,5,18.0923,77.7733,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1443,0.2700,1.6158,0.7428,,,,,
57.5908,6,6,28.9472,86.5373,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1084,0.1968,0.3980,1.1195,0.5242,,,,
40.4511,8,8,24.9390,65.3900,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0753,0.2537,0.2360,1.3575,1.9956,0.8533,0.4095,,
36.8873,9,9,30.0246,66.9116,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0877,0.1024,0.2256,0.4237,1.0252,0.3856,0.2810,0.2143,
23.4310,10,10,33.4866,56.9166,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0516,0.1571,0.2077,0.2143,1.3473,2.2111,0.9746,0.4530,0.2385
