jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
48.1586,7,7,29.943,78.101,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0969,0.2637,0.2217,0.8220,0.8485,0.3809,,,
42.0790,8,8,30.6743,72.7523,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0802,0.1016,0.4390,0.3267,0.9076,0.5488,0.2719,,
31.4501,10,10,36.1746,67.6247,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0939,0.1339,0.3532,1.2326,1.5998,2.1834,1.3080,0.4391,0.2117
22.5192,10,10,32.4919,55.0109,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1728,0.2649,0.4717,1.1250,0.7913,0.6897,0.3184,0.1694,0.1852
36.9902,9,9,30.3632,67.3533,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1469,0.1802,0.3029,0.6898,0.3729,0.4085,0.5131,0.2674,
25.7777,10,3,9.8457,35.6227,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0765,0.0839,,,,,,,
46.9215,7,7,23.0734,69.9944,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1818,0.4960,3.1260,3.0606,1.4481,0.4853,,,
49.7061,7,7,28.5000,78.2061,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1322,0.2090,0.9393,0.8749,0.3608,0.3174,,,
44.9852,8,8,37.5353,82.5203,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1317,0.2169,1.4132,1.4850,2.2578,0.6815,0.2381,,
23.6837,10,3,12.9975,36.6805,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0767,0.0978,,,,,,,
42.7425,8,8,30.1807,72.9227,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1211,0.3578,1.8603,3.4229,2.3547,0.6375,0.1699,,
25.0854,10,10,35.3881,60.4732,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1014,0.1384,0.3238,0.7539,0.4214,0.2629,0.4343,0.2154,0.2057
41.1416,8,4,12.6219,53.7630,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0602,0.1015,0.0670,,,,,,
58.5622,5,5,17.3424,75.9045,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1281,0.3766,1.1461,0.5557,,,,,
33.8054,10,10,31.9572,65.7622,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1165,0.1578,0.3586,1.0075,0.1148,0.5557,0.2591,0.2096,0.2270
57.5019,6,6,20.3260,77.8270,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1596,0.7016,2.2084,2.6382,1.0687,,,,
46.0449,7,7,24.2808,70.3249,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1073,0.1112,0.7906,1.0073,0.5334,0.2725,,,
34.4592,9,9,29.9014,64.3604,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1117,0.1571,0.6299,1.2728,0.4668,0.3549,0.1300,0.2248,
28.3525,10,3,8.8979,37.2499,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0706,0.0745,,,,,,,
27.2509,10,10,30.8574,58.1074,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1518,0.1705,0.3748,1.0461,0.7403,0.4466,0.4348,0.2519,0.2459
44.0057,8,8,28.0885,72.0936,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1071,0.1649,0.8109,0.5080,0.2569,0.1768,0.1759,,
59.9092,5,5,18.3973,78.3063,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.2137,0.7466,0.5972,0.3473,,,,,
21.9474,10,3,10.5959,32.5429,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0572,0.0709,,,,,,,
47.3308,7,7,23.0117,70.3417,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1358,0.1844,1.0492,1.0011,0.7335,0.2800,,,
55.9514,6,6,20.8935,76.8445,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1612,0.4801,0.5175,0.6113,0.3301,,,,
49.9626,7,7,24.4868,74.4489,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.3202,0.4267,0.2489,0.5888,0.3626,0.2171,,,
40.4195,8,8,25.6043,66.0233,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0992,0.2429,0.9013,2.0124,1.9747,1.0421,0.2415,,
21.0648,10,10,31.0037,52.0689,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.3977,0.6669,0.6623,0.4068,0.2240,0.9778,0.5725,0.2782,0.1495
24.9439,10,10,29.3189,54.2619,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.2042,0.4213,0.2195,0.8181,1.1269,0.9600,0.5587,0.1159,0.0448
51.8397,7,7,23.4820,75.3211,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1309,0.2879,2.3040,2.8465,1.9577,0.6980,,,
21.6360,10,3,9.0476,30.6837,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0589,0.0717,,,,,,,
58.8612,5,5,19.4046,78.2656,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1318,1.7917,1.7340,0.7256,,,,,
45.5229,8,8,25.5514,71.0735,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0754,0.1203,0.9857,0.1758,0.9182,0.4431,0.2954,,
30.4700,10,10,31.2109,61.6799,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0799,0.1064,0.4060,1.7955,3.3089,2.9323,1.1319,0.3250,0.1524
21.5365,10,3,8.7389,30.2749,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0637,0.0727,,,,,,,
41.0383,8,8,37.0007,78.0388,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0825,0.1126,0.5998,0.4894,1.0093,0.7335,0.2500,,
45.2497,8,8,26.5922,71.8413,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1107,0.1690,1.0739,1.4970,0.7773,0.3304,0.1728,,
46.6972,7,7,22.2946,68.9917,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1159,0.2341,1.0827,0.1748,0.2852,0.2513,,,
23.5555,10,3,8.9286,32.4836,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0658,0.0836,,,,,,,
29.7009,10,10,30.9538,60.6538,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0611,0.1406,0.1856,0.1258,0.5663,1.1916,0.5505,0.3135,0.1999
47.3651,7,7,31.0316,78.3966,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0848,0.1220,0.8633,0.8848,0.3684,0.2908,,,
59.6373,5,5,18.4103,78.0474,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1633,0.9064,0.5916,0.6322,,,,,
39.5780,9,9,38.7036,78.2816,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1008,0.1387,0.4313,1.1632,0.2503,0.4454,0.2665,0.1986,
26.9706,10,3,12.3352,39.3053,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0583,0.0795,,,,,,,
32.9082,10,10,33.9225,66.8305,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0820,0.1148,0.3868,1.4706,1.1145,1.0913,0.2753,0.2323,0.1426
29.1570,10,3,9.7274,38.8845,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0690,0.0877,,,,,,,
47.9502,7,6,17.2743,65.2243,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.1993,1.1727,24.9396,3.7485,0.0228,,,,
40.5380,8,8,31.3815,71.9186,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0723,0.1202,0.2132,0.4081,1.5027,0.7267,0.3448,,
30.0157,10,10,32.4478,62.4629,completed,3641.81,73717.62,-2.0579,0.02,0.0000,0.0680,0.1115,0.1024,0.4531,0.5037,1.2244,0.5019,0.2889,0.2106
55.0359,6,6,21.4629,76.4979,completed,3641.81,73717.62,-2.0579,0.02,0.0000,0.2019,0.7919,1.5750,1.0088,0.5538,,,,
23.7280,10,4,13.8099,37.5379,converged,3641.80,73717.61,-2.0577,0.08,0.0000,0.0693,0.1430,0.0900,,,,,,
39.9206,9,9,30.2551,70.1752,completed,3641.80,73717.61,-2.0577,0.08,0.0000,0.0939,0.1125,0.3986,0.7859,0.3915,0.1994,0.2718,0.1818,
20.8313,10,3,9.6257,30.4567,converged,3641.79,73717.58,-2.0574,0.16,0.0000,0.0571,0.0744,,,,,,,
21.0470,10,9,27.2661,48.3131,converged,3641.79,73717.58,-2.0574,0.16,0.0000,0.1245,0.2083,0.8292,7.9137,20.8235,2.6594,0.1199,0.0348,
28.5470,10,3,10.3479,38.8939,converged,3641.77,73717.54,-2.0567,0.27,0.0000,0.0723,0.0794,,,,,,,
58.1054,5,5,17.6220,75.7270,completed,3641.77,73717.54,-2.0567,0.27,0.0000,0.1209,0.5443,0.4611,0.7292,,,,,
24.7870,10,3,9.1798,33.9668,converged,3641.74,73717.48,-2.0554,0.40,0.0000,0.0397,0.0961,,,,,,,
40.3452,8,8,36.4610,76.8060,completed,3641.74,73717.48,-2.0554,0.40,0.0000,0.0565,0.1194,0.1742,0.5147,0.5468,0.4758,0.3012,,
50.4362,7,7,24.4969,74.9329,completed,3641.69,73717.38,-2.0537,0.55,0.0000,0.1139,0.2433,0.8606,1.7132,0.7149,0.1479,,,
44.2482,8,8,27.0540,71.3020,completed,3641.69,73717.38,-2.0537,0.55,0.0000,0.1827,0.3149,0.2175,0.2340,1.4517,0.7740,0.4099,,
33.0008,10,3,8.9467,41.9467,converged,3641.61,73717.24,-2.0514,0.74,0.0000,0.0917,0.0670,,,,,,,
52.8328,6,6,20.1764,73.0084,completed,3641.61,73717.24,-2.0514,0.74,0.0000,0.1388,0.3817,1.8131,1.2913,0.4110,,,,
25.6758,10,10,31.8834,57.5585,completed,3641.52,73717.07,-2.0484,0.93,0.0000,0.0409,0.1250,0.1050,0.1371,0.2898,0.2213,0.1684,0.2834,0.2503
41.4207,8,8,28.2760,69.6960,completed,3641.52,73717.07,-2.0484,0.93,0.0000,0.0752,0.1763,0.1726,0.6075,0.3167,0.5176,0.2733,,
29.0263,10,3,10.1999,39.2259,converged,3641.40,73716.84,-2.0432,1.18,0.0000,0.0361,0.0810,,,,,,,
59.3096,5,3,9.2216,68.5306,converged,3641.40,73716.84,-2.0432,1.18,0.0000,0.1849,0.0893,,,,,,,
22.9035,10,4,12.2532,35.1562,converged,3641.27,73716.58,-2.0371,1.41,0.0000,0.0532,0.1200,0.0712,,,,,,
41.9983,8,8,25.6955,67.6935,completed,3641.27,73716.58,-2.0371,1.41,0.0000,0.0801,0.1996,0.2807,0.4247,0.7584,0.5435,0.2195,,
