jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
27.0481,10,3,11.805,38.853,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.1314,0.0850,,,,,,,
46.5491,7,7,30.1934,76.7424,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.2480,0.7151,0.9079,0.8165,2.3283,3.9093,,,
52.5851,6,6,24.6658,77.2508,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0952,0.4997,2.5755,1.4794,2.7432,,,,
34.7759,9,4,13.8041,48.5791,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.0454,0.1109,0.0171,,,,,,
39.9652,9,3,17.0587,57.0238,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.0722,0.0570,,,,,,,
39.3112,9,7,32.3031,71.6142,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.2901,0.4244,5.4159,5.9525,1.0914,0.0550,,,
59.3370,5,5,32.5600,91.8960,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.5958,9.2107,1.3351,0.0522,,,,,
41.3647,8,8,42.4678,83.8318,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.8574,2.0534,0.3458,2.6132,1.0733,2.6777,3.6502,,
22.1390,10,7,27.0266,49.1647,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.5183,1.2267,3.0455,1.5737,0.2358,0.0486,,,
32.7899,10,8,28.6064,61.3954,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.7792,1.6923,5.1530,2.5634,0.4012,0.1666,0.0214,,
55.4694,6,6,20.8667,76.3357,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.7428,1.5774,4.1173,2.8353,4.3095,,,,
39.6927,9,9,36.1074,75.7994,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.2502,0.4008,5.4342,6.3121,1.2511,0.1685,0.1372,0.3817,
32.1880,10,10,36.2014,68.3884,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.1339,0.5331,1.0032,6.2092,1.0580,0.8268,0.1990,1.1526,1.3835
57.7320,6,6,33.0452,90.7763,completed,81377.36,49916.91,0.5890,0.00,0.0000,2.2564,7.9211,1.8882,0.2359,0.3555,,,,
26.7899,10,10,47.9557,74.7448,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0510,0.1473,1.0154,4.1419,0.2103,0.5144,1.8111,2.3990,2.2909
36.2315,9,9,44.6725,80.9036,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.4348,1.4597,1.4605,2.8968,2.6622,2.0531,3.3639,2.9080,
40.9724,8,6,22.2730,63.2451,converged,81377.36,49916.91,0.5890,0.00,0.0000,2.9298,5.2548,1.8650,0.3427,0.0573,,,,
44.2594,8,8,31.7847,76.0438,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.1685,1.0217,1.8062,1.5381,0.5864,2.7489,3.2479,,
23.4746,10,8,27.1333,50.6074,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.3923,0.9259,4.2429,4.2835,0.8285,0.5544,0.0256,,
41.3946,8,8,43.5847,84.9787,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.4545,1.3338,1.6147,4.4567,2.1481,3.9336,3.4712,,
44.1073,8,8,31.6910,75.7980,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0412,0.3355,1.9393,3.0936,2.1412,3.3383,3.3245,,
42.7844,8,3,16.3330,59.1170,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.3399,0.0628,,,,,,,
37.4289,9,7,29.2400,66.6680,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.9746,2.6815,6.1250,1.7708,0.3959,0.0360,,,
59.8956,5,5,19.8950,79.7900,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.3379,6.5917,3.7029,1.0779,,,,,
28.9404,10,10,38.0748,67.0149,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.1991,0.1078,0.5257,0.7030,4.8429,1.1286,2.4904,2.8678,2.4068
43.4320,8,8,40.9753,84.4073,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.4935,0.5676,0.7279,1.5201,0.3104,1.0386,2.3723,,
44.1764,8,8,39.6043,83.7803,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.4202,0.6174,0.5746,0.4419,0.5630,1.3523,2.6171,,
30.3863,10,10,49.7313,80.1174,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.1175,0.2315,0.1599,0.2565,0.2204,0.9712,2.7076,3.3260,3.3162
23.0949,10,10,37.1633,60.2574,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.3568,0.7113,0.5163,1.2195,0.5287,0.9518,0.9221,2.2467,2.8087
33.7327,10,10,37.6937,71.4257,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.5984,0.8946,0.4101,2.8550,1.0573,0.6766,1.1903,2.4138,3.0093
25.9030,10,10,38.6395,64.5426,completed,81377.36,49916.91,0.5889,0.00,0.0000,0.2056,0.4984,0.3162,3.7907,0.1136,0.1856,1.8457,2.6138,2.3695
56.8512,6,6,25.4437,82.2947,completed,81377.36,49916.91,0.5889,0.00,0.0000,1.2823,0.5996,4.5083,1.5646,1.8863,,,,
32.9982,10,8,26.2100,59.2080,converged,81377.36,49916.91,0.5889,0.00,0.0000,0.8231,2.3308,7.8064,2.6093,0.6028,0.1330,0.0200,,
40.8555,8,8,35.3129,76.1679,completed,81377.36,49916.91,0.5889,0.00,0.0000,0.4822,0.1202,8.1613,3.5012,3.0587,0.9473,0.1331,,
26.7116,10,8,30.1554,56.8664,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.7662,1.9662,7.6235,4.7161,0.2535,0.1380,0.0464,,
24.2993,10,8,31.7372,56.0362,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.3949,0.7278,4.2011,7.3403,1.2191,0.5765,0.0378,,
55.4958,6,6,37.0916,92.5866,completed,81377.36,49916.91,0.5890,0.00,0.0000,1.3441,2.5052,4.3784,3.4419,5.1071,,,,
38.7150,9,9,44.3071,83.0221,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.3625,0.8067,1.5443,5.6397,0.7753,0.7289,2.1457,2.4975,
50.4570,7,7,39.3050,89.7621,completed,81377.36,49916.91,0.5889,0.00,0.0000,1.0176,1.9720,3.9417,3.0716,4.4575,4.7678,,,
34.6731,9,9,37.9812,72.6542,completed,81377.36,49916.91,0.5889,0.00,0.0000,0.4851,1.0126,0.9119,2.4179,1.1478,2.2317,3.5597,3.0948,
