jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
35.4642,9,9,36.9171,72.3811,completed,81408.29,49939.31,0.7254,6.80,0.0000,0.7282,1.2218,0.9952,1.0353,3.1178,7.1680,8.0963,6.3902,
20.8568,10,5,77.5790,98.4351,deadline,81410.02,49940.85,0.7353,7.20,0.0000,0.2745,0.5673,0.3998,0.8033,,,,,
57.2275,6,6,41.1351,98.3622,completed,81410.02,49940.85,0.7353,7.20,0.0000,1.0365,1.6942,0.8682,5.3512,9.6609,,,,
43.5786,8,8,31.3091,74.8872,completed,81412.03,49942.66,0.7373,7.54,0.0000,0.2291,0.1281,0.3355,0.9355,4.6134,8.8907,7.9910,,
50.0407,7,7,42.9331,92.9732,completed,81412.03,49942.66,0.7373,7.54,0.0000,0.1932,0.5760,1.7033,1.5745,6.6163,7.8292,,,
20.1516,10,10,48.6313,68.7824,completed,81413.85,49944.30,0.7338,7.91,0.0000,0.0550,0.2608,0.2542,0.8370,1.6719,3.2956,6.1829,8.0417,6.6814
39.6350,9,9,48.1318,87.7669,completed,81413.85,49944.30,0.7338,7.91,0.0000,0.1444,0.5347,0.9246,1.5450,4.8245,8.4581,9.4713,7.1945,
56.3051,6,6,22.8285,79.1335,completed,81415.58,49945.86,0.7329,8.21,0.0000,0.1350,1.6207,3.4914,8.5135,11.4990,,,,
28.5064,10,10,47.0543,75.5603,completed,81415.58,49945.86,0.7329,8.21,0.0000,0.0939,0.2829,0.1447,0.6351,1.0393,4.1430,6.7073,8.4237,6.9457
57.7701,6,6,23.3682,81.1382,completed,81417.44,49947.52,0.7330,8.42,0.0000,0.2756,1.7079,4.1011,9.0858,11.2085,,,,
42.9440,8,8,36.7021,79.6461,completed,81417.44,49947.52,0.7330,8.42,0.0000,0.1781,0.8534,1.7832,4.5897,7.8787,10.6808,8.6782,,
40.1245,8,8,28.0079,68.1320,completed,81419.31,49949.21,0.7356,8.55,0.0000,0.2160,0.2592,0.1847,1.4426,4.2547,8.6726,9.6034,,
25.8566,10,4,13.9012,39.7572,converged,81419.31,49949.21,0.7356,8.55,0.0000,0.0503,0.1613,0.0754,,,,,,
41.7415,8,3,10.7948,52.5358,converged,81420.80,49950.56,0.7327,8.60,0.0000,0.1956,0.0446,,,,,,,
33.0609,10,4,17.1695,50.2295,converged,81420.80,49950.56,0.7327,8.60,0.0000,0.0207,0.1499,0.0625,,,,,,
34.9552,9,3,19.6280,54.5831,converged,81422.18,49951.80,0.7335,8.63,0.0000,0.0830,0.0852,,,,,,,
48.0582,7,7,28.5347,76.5927,completed,81422.18,49951.80,0.7335,8.63,0.0000,0.1445,0.2520,0.5442,1.9664,8.5811,9.0688,,,
37.3279,9,9,35.7602,73.0873,completed,81423.79,49953.25,0.7336,8.64,0.0000,0.4403,0.6385,0.9306,3.5131,4.1299,7.9516,8.7907,7.0023,
23.8762,10,10,45.0031,68.8792,completed,81423.79,49953.25,0.7336,8.64,0.0000,0.1964,0.3397,0.2281,0.3383,0.4189,3.0517,6.2220,8.6924,7.0758
41.6557,8,8,28.9249,70.5800,completed,81425.73,49954.99,0.7298,8.64,0.0000,0.3440,0.5192,0.4082,0.3340,3.4908,8.7895,7.9507,,
37.4670,9,9,79.3135,116.7796,completed,81425.73,49954.99,0.7298,8.64,0.0000,0.3877,0.4638,0.2644,0.4132,1.2276,6.0708,9.1064,7.1405,
54.1882,6,6,33.4008,87.5889,completed,81427.70,49956.74,0.7250,8.64,0.0000,0.7129,0.2973,1.1763,4.0187,9.8793,,,,
56.4088,6,6,31.4972,87.9053,completed,81427.70,49956.74,0.7250,8.64,0.0000,0.9673,0.7799,2.0966,6.5172,11.2852,,,,
37.8127,9,9,29.5220,67.3340,completed,81430.10,49958.86,0.7179,8.64,0.0000,0.7835,0.8923,0.5274,0.8901,3.0180,5.5638,8.9995,8.5751,
36.3404,9,9,34.0582,70.3982,completed,81430.10,49958.86,0.7179,8.64,0.0000,0.7850,0.8736,0.5771,1.4987,4.0372,7.0793,9.5969,7.8419,
47.1821,7,7,33.5350,80.7171,completed,81431.93,49960.44,0.7086,8.64,0.0000,0.8992,0.7670,1.7355,3.7617,7.2848,10.3906,,,
40.1943,8,8,38.3582,78.5522,completed,81431.93,49960.44,0.7086,8.64,0.0000,0.7354,0.4244,0.3641,1.1369,1.6611,6.9311,8.8246,,
42.2036,8,8,36.5371,78.7401,completed,81433.91,49962.12,0.6981,8.65,0.0000,0.3991,0.3768,0.9890,3.7825,4.3899,8.3997,9.6502,,
38.4629,9,9,40.2592,78.7212,completed,81433.91,49962.12,0.6981,8.65,0.0000,0.6682,0.5811,0.1837,0.3980,4.7568,9.3481,8.9710,6.7584,
