jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
26.9579,10,10,46.6059,73.5629,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.0821,0.1417,0.2319,0.5730,0.9109,1.2082,1.9189,3.3021,3.8089
42.6555,8,8,26.4320,69.0870,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.1122,0.2148,0.5031,0.9296,1.3977,3.6164,4.3847,,
36.1367,9,3,9.2687,45.4048,converged,87798.90,52969.30,-1.3995,0.00,0.0000,0.0239,0.0127,,,,,,,
43.5169,8,8,26.8962,70.4122,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.1269,0.2486,0.5788,1.3557,1.9338,3.5333,4.4758,,
24.9743,10,3,9.1438,34.1179,converged,87798.90,52969.30,-1.3995,0.00,0.0000,0.0231,0.0260,,,,,,,
41.3960,8,8,28.6573,70.0523,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.1435,0.2362,0.4155,0.9167,1.1684,2.9196,4.1797,,
59.0178,5,5,16.8957,75.9127,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.5120,1.7860,3.1658,5.7252,,,,,
33.4609,10,3,9.1682,42.6283,converged,87798.90,52969.30,-1.3995,0.00,0.0000,0.0536,0.0781,,,,,,,
33.5631,10,3,9.1129,42.6760,converged,87798.90,52969.30,-1.3995,0.00,0.0000,0.0312,0.0309,,,,,,,
53.8841,6,6,23.0691,76.9531,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.1274,0.3716,1.1895,1.8569,4.4061,,,,
33.4863,10,10,48.1549,81.6410,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.0567,0.1038,0.1426,0.5513,0.7442,0.7426,2.1171,3.3537,3.5598
31.3313,10,10,31.5283,62.8594,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.0910,0.1560,0.1980,0.5470,0.8818,1.1055,2.3278,3.5591,3.7860
58.7187,5,5,17.5519,76.2699,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.1969,0.4887,1.1510,4.1655,,,,,
36.0681,9,3,9.0771,45.1451,converged,87798.90,52969.30,-1.3995,0.00,0.0000,0.0474,0.0590,,,,,,,
29.5803,10,10,41.4317,71.0117,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.0788,0.1395,0.2139,0.5651,0.9897,1.1608,2.4333,3.5701,3.8120
52.0143,6,6,20.3721,72.3861,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.1311,0.2563,0.9332,1.8531,4.3161,,,,
51.5764,7,7,32.8633,84.4393,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.1723,0.3826,1.1227,1.5316,3.1838,4.7358,,,
48.7579,7,3,9.1883,57.9453,converged,87798.90,52969.30,-1.3995,0.00,0.0000,0.0370,0.0710,,,,,,,
23.0298,10,3,9.5421,32.5712,converged,87798.90,52969.30,-1.3995,0.00,0.0000,0.0547,0.0761,,,,,,,
57.0108,6,6,20.9057,77.9157,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.1543,0.3420,1.1202,1.8125,4.3402,,,,
22.8949,10,3,9.8201,32.7141,converged,87798.90,52969.30,-1.3995,0.00,0.0000,0.0278,0.0219,,,,,,,
22.3104,10,10,32.1439,54.4539,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.0708,0.1336,0.2570,0.7486,1.0982,1.1404,2.1184,3.3679,3.8683
46.4372,7,7,22.9955,69.4325,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.1170,0.1574,0.9977,0.8844,2.7954,4.3312,,,
40.0784,8,8,36.6643,76.7423,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.1105,0.2502,0.5342,1.1955,1.7266,3.4434,4.4339,,
55.3622,6,6,20.8606,76.2226,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.0673,0.2006,0.4515,1.3335,4.0007,,,,
41.7366,8,3,10.5253,52.2613,converged,87798.90,52969.30,-1.3995,0.00,0.0000,0.0411,0.0417,,,,,,,
54.1437,6,6,20.2461,74.3891,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.1550,0.1561,0.5157,2.2244,5.3511,,,,
33.8997,10,10,33.9173,67.8164,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.1294,0.1705,0.1469,0.2682,0.5431,0.8832,2.3118,3.9140,4.7741
48.6331,7,7,24.9377,73.5707,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.1944,0.2927,0.5365,0.8344,3.1450,5.3079,,,
36.3126,9,3,9.4294,45.7415,converged,87798.90,52969.30,-1.3995,0.00,0.0000,0.0252,0.0437,,,,,,,
29.4609,10,3,9.1717,38.6317,converged,87798.90,52969.30,-1.3995,0.00,0.0000,0.0492,0.0442,,,,,,,
45.9182,8,8,25.9793,71.8973,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.2546,0.4080,0.7634,1.3087,1.9566,3.7875,4.8970,,
51.9649,7,7,25.5744,77.5385,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.2010,0.3220,0.9317,1.3493,4.1679,5.2980,,,
36.3103,9,9,29.3433,65.6533,completed,87798.90,52969.30,-1.3995,0.00,0.0000,0.1038,0.1764,0.3395,0.7604,0.9961,1.8303,3.6487,4.2720,
