jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
26.3071,10,10,35.1339,61.4409,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.3066,0.2806,0.2177,0.6213,0.5620,0.9324,1.7516,2.6229,2.8534
40.1971,8,8,31.1327,71.3298,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.2513,0.2346,0.3924,1.5467,0.5068,2.2664,2.7436,,
29.1589,10,10,40.8578,70.0158,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.3313,0.3867,0.3518,0.5563,0.5013,1.4878,2.5202,3.1187,3.0699
57.3164,6,6,20.2598,77.5758,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.6439,0.4575,0.4549,1.8263,3.4854,,,,
32.7775,10,10,37.2108,69.9879,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.4382,0.5887,0.6289,1.0879,0.8550,2.3176,2.9947,3.3583,3.2779
51.0502,7,7,23.8044,74.8544,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.4369,0.1560,0.4833,0.8253,1.2701,2.6631,,,
56.5854,6,6,22.1630,78.7481,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.2870,0.8934,5.9611,3.6886,0.9041,,,,
29.6154,10,10,38.9220,68.5371,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.2885,0.3086,0.2571,0.2415,0.8952,0.4945,1.5647,2.4751,2.8084
48.0472,7,7,27.8516,75.8986,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.4314,0.2892,0.4794,0.2294,2.0815,3.2347,,,
59.5649,5,5,18.5465,78.1106,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.4650,0.6658,1.1296,1.8755,,,,,
22.8442,10,5,15.5090,38.3531,converged,3684.10,73774.90,-2.2438,0.00,0.0000,0.4434,0.4727,0.3871,0.0948,,,,,
35.6759,9,9,29.6019,65.2770,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.4833,0.5319,0.4296,0.6410,1.4777,2.6241,3.6782,3.5000,
41.3505,8,8,25.6500,67.0000,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.4964,0.5828,1.0031,0.4453,2.2020,3.0337,3.5510,,
38.4819,9,9,29.6339,68.1150,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.4607,0.5926,0.7790,0.8255,1.1504,2.1844,3.3585,3.4825,
50.4057,7,7,27.0167,77.4218,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.4498,0.2748,0.3043,0.6791,1.1901,2.7584,,,
25.8310,10,10,32.1017,57.9327,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.2364,0.2551,0.1667,0.4039,1.6808,0.6364,1.0711,2.1168,2.2763
44.0423,8,8,26.1812,70.2233,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.3859,0.4225,0.6576,0.3755,1.0342,2.3691,3.1931,,
26.8693,10,10,49.0615,75.9305,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.2397,0.2260,0.2021,1.4930,3.2253,2.9105,0.4495,1.4093,1.4661
41.6041,8,8,30.7033,72.3073,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.5071,0.6365,0.8020,0.4300,1.1856,2.4361,3.2558,,
29.0996,10,3,9.3146,38.4137,converged,3684.10,73774.90,-2.2438,0.00,0.0000,0.2092,0.0789,,,,,,,
27.7020,10,10,34.2866,61.9876,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.2887,0.2885,0.1160,0.4810,2.7245,2.5669,0.3859,1.2080,1.5978
58.0417,5,5,18.1663,76.2074,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.7246,0.8688,1.1249,3.4895,,,,,
37.0856,9,9,30.3232,67.4082,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.1169,0.2282,2.2525,6.3706,2.8796,0.1687,0.1478,0.5534,
23.0746,10,10,32.6319,55.7059,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.2282,0.2104,0.2072,0.5688,0.5889,1.0655,1.5760,2.4536,2.8759
25.3276,10,4,12.1467,37.4737,converged,3684.10,73774.90,-2.2438,0.00,0.0000,0.3068,0.2795,0.0929,,,,,,
43.4565,8,8,27.2431,70.6991,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.2181,0.3160,0.3587,0.2393,0.7070,2.2146,3.4676,,
51.6105,7,7,23.9386,75.5486,completed,3684.10,73774.90,-2.2438,0.00,0.0000,0.3548,0.4394,0.7865,1.4092,2.3720,3.6494,,,
