jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
46.8656,7,7,26.2567,73.1217,completed,3704.80,73765.70,0.4764,0.00,0.0000,0.1052,0.1782,1.2878,1.6001,2.6908,4.3011,,,
51.1070,7,7,24.5829,75.6899,completed,3704.80,73765.70,0.4764,0.00,0.0000,0.0433,0.1746,1.1540,1.7341,3.5537,4.6040,,,
44.3870,8,8,25.7857,70.1727,completed,3704.80,73765.70,0.4764,0.00,0.0000,0.0355,0.1528,0.7822,1.9785,1.7880,4.1229,4.5433,,
42.0342,8,3,8.8920,50.9261,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.0801,0.0437,,,,,,,
29.6348,10,3,8.7224,38.3565,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.0807,0.0417,,,,,,,
37.0848,9,3,8.7125,45.7965,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.0875,0.0428,,,,,,,
32.8244,10,3,9.9443,42.7684,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.0719,0.0148,,,,,,,
51.9256,7,7,23.1587,75.0837,completed,3704.80,73765.70,0.4764,0.00,0.0000,0.0855,0.1054,0.7763,1.0239,1.9357,3.9502,,,
27.0207,10,3,8.9863,36.0064,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.0698,0.0315,,,,,,,
45.3800,8,3,9.5760,54.9551,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.0876,0.0420,,,,,,,
43.6532,8,3,9.1715,52.8245,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.0817,0.0153,,,,,,,
40.7880,8,3,9.5339,50.3209,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.0874,0.0900,,,,,,,
49.5965,7,7,23.1732,72.7692,completed,3704.80,73765.70,0.4764,0.00,0.0000,0.1276,0.1027,0.4732,0.6466,1.2174,3.1033,,,
43.4877,8,3,9.3982,52.8852,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.1122,0.0442,,,,,,,
39.0517,9,3,13.1738,52.2249,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.1197,0.0251,,,,,,,
24.5503,10,3,9.1688,33.7189,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.0547,0.0275,,,,,,,
59.2537,5,5,18.2803,77.5334,completed,3704.80,73765.70,0.4764,0.00,0.0000,0.0752,0.5440,1.6208,3.7982,,,,,
50.0161,7,7,23.8596,73.8757,completed,3704.80,73765.70,0.4764,0.00,0.0000,0.1026,0.1128,0.8868,1.2803,2.5425,4.1079,,,
49.3485,7,7,23.8255,73.1735,completed,3704.80,73765.70,0.4764,0.00,0.0000,0.0726,0.1612,1.1608,1.4930,2.9477,4.3121,,,
54.7333,6,6,20.2819,75.0150,completed,3704.80,73765.70,0.4764,0.00,0.0000,0.1100,0.2423,1.5565,1.8701,4.2982,,,,
53.6404,6,3,9.1964,62.8364,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.1483,0.0681,,,,,,,
48.9456,7,3,10.1112,59.0563,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.1540,0.0692,,,,,,,
48.0666,7,3,10.6089,58.6750,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.1298,0.0754,,,,,,,
56.6306,6,6,24.0702,80.7003,completed,3704.80,73765.70,0.4764,0.00,0.0000,0.0854,0.3082,1.6995,2.5176,4.5780,,,,
42.0974,8,3,8.8622,50.9592,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.0561,0.0821,,,,,,,
36.7498,9,3,8.9676,45.7166,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.0769,0.0655,,,,,,,
54.6342,6,3,8.8808,63.5148,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.1226,0.0383,,,,,,,
31.1261,10,10,33.4058,64.5319,completed,3704.80,73765.70,0.4764,0.00,0.0000,0.1159,0.1886,0.6231,1.6297,0.6299,0.4535,2.3210,3.2305,3.1724
42.4011,8,3,11.2199,53.6209,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.1699,0.0820,,,,,,,
21.6621,10,3,10.2428,31.9049,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.0812,0.0762,,,,,,,
58.2752,5,5,22.7061,80.9812,completed,3704.80,73765.70,0.4764,0.00,0.0000,0.1547,0.5162,1.7457,4.1374,,,,,
34.9106,9,3,8.9502,43.8602,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.1001,0.0321,,,,,,,
54.0220,6,6,19.5069,73.5289,completed,3704.80,73765.70,0.4764,0.00,0.0000,0.0388,0.4567,2.3805,2.3103,4.9500,,,,
29.8163,10,3,8.7610,38.5770,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.0603,0.0523,,,,,,,
47.0356,7,3,9.4354,56.4704,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.0858,0.0450,,,,,,,
56.4374,6,6,23.0842,79.5212,completed,3704.80,73765.70,0.4764,0.00,0.0000,0.1182,0.2177,0.4520,1.1454,3.6534,,,,
43.8127,8,3,8.8320,52.6441,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.0982,0.0442,,,,,,,
44.5114,8,8,25.7809,70.2920,completed,3704.80,73765.70,0.4764,0.00,0.0000,0.0263,0.1486,0.8523,2.1130,1.9203,3.7643,4.5965,,
38.2454,9,3,8.6734,46.9184,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.0849,0.0230,,,,,,,
27.8059,10,3,9.0818,36.8868,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.0748,0.0278,,,,,,,
37.8767,9,3,9.1275,47.0036,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.0549,0.0554,,,,,,,
50.7506,7,7,23.0702,73.8203,completed,3704.80,73765.70,0.4764,0.00,0.0000,0.1270,0.1012,0.9149,1.5832,2.5941,4.2711,,,
57.4689,6,6,20.2370,77.7050,completed,3704.80,73765.70,0.4764,0.00,0.0000,0.0749,0.1958,2.2143,2.1764,4.8191,,,,
43.1743,8,3,9.1460,52.3200,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.0866,0.0904,,,,,,,
25.8532,10,3,11.4614,37.3145,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.0533,0.0090,,,,,,,
34.1213,9,3,9.3183,43.4394,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.0563,0.0220,,,,,,,
25.9677,10,3,8.8112,34.7782,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.1171,0.0980,,,,,,,
33.9655,10,8,23.1023,57.0674,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.1305,0.1698,0.5148,5.8201,16.5045,1.4783,0.0377,,
27.0878,10,3,9.2599,36.3470,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.1074,0.0619,,,,,,,
52.2012,6,6,22.6426,74.8436,completed,3704.80,73765.70,0.4764,0.00,0.0000,0.0691,0.2170,0.3395,1.5285,3.9433,,,,
47.9438,7,7,26.9452,74.8882,completed,3704.80,73765.70,0.4764,0.00,0.0000,0.0371,0.2015,1.3085,1.6009,2.8645,4.5082,,,
34.1390,9,3,10.3751,44.5132,converged,3704.80,73765.70,0.4764,0.00,0.0000,0.0942,0.0857,,,,,,,
31.3842,10,8,24.7085,56.0925,converged,3704.80,73765.70,0.4764,0.03,0.0000,0.1604,0.2378,0.9466,10.1229,12.3189,0.4417,0.0434,,
23.5589,10,3,13.9393,37.4973,converged,3704.80,73765.70,0.4764,0.03,0.0000,0.0529,0.0199,,,,,,,
