jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
20.4362,10,3,15.7518,36.1879,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.1056,0.0498,,,,,,,
37.7508,9,6,28.2777,66.0277,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.2726,0.2347,0.3484,0.3210,0.0489,,,,
24.5737,10,10,50.5693,75.1423,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.1734,0.2341,0.1277,1.0717,4.0211,3.3730,2.6598,2.7352,2.3674
41.9345,8,5,24.5855,66.5196,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.0825,0.1275,1.0048,0.0486,,,,,
57.8752,6,6,26.7898,84.6649,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.1257,0.4633,0.5269,0.2228,0.2155,,,,
42.3886,8,6,25.6246,68.0127,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.4093,0.2870,0.3912,0.1909,0.0190,,,,
30.4810,10,4,21.9021,52.3831,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.1410,0.1283,0.0541,,,,,,
40.0081,8,6,23.7127,63.7207,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.5225,0.5533,0.7820,0.2513,0.0542,,,,
30.9100,10,6,21.7867,52.6957,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.3323,0.1278,0.3783,0.9443,0.0168,,,,
28.4813,10,6,24.5832,53.0642,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.2366,0.1367,0.3109,0.6154,0.0902,,,,
56.3835,6,5,23.1763,79.5594,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.2169,0.2708,0.3194,0.0751,,,,,
42.6649,8,6,37.0029,79.6669,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.2540,0.3132,0.4285,0.3345,0.0454,,,,
59.1967,5,5,26.7613,85.9574,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.1666,0.8161,0.3578,0.0678,,,,,
42.8910,8,7,26.5914,69.4824,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.3757,0.3544,0.4611,0.3098,0.1609,0.0422,,,
