jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
25.9143,10,10,60.5358,86.4498,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0719,0.1379,0.4634,0.5993,1.0279,0.8531,1.9120,2.9964,2.6480
31.9224,10,10,49.2544,81.1765,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.1927,0.9168,1.8769,1.7130,0.9682,2.8100,1.7565,2.2068,2.2227
48.2878,7,7,24.6500,72.9370,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0168,0.3317,1.0977,0.4136,0.3040,0.3175,,,
33.7773,10,8,29.4174,63.1944,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.2103,0.1518,0.4044,0.5259,0.2084,0.2280,0.0179,,
25.8688,10,10,47.0963,72.9643,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.1795,0.3306,0.4180,1.5619,1.7460,1.9331,1.6292,1.5523,1.4702
21.7900,10,10,60.0235,81.8125,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0120,0.2130,0.2818,1.1359,0.3263,0.4849,0.4328,0.1667,0.4236
53.1173,6,6,32.9046,86.0216,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.4858,1.8105,3.9663,1.6772,3.4142,,,,
30.9354,10,10,47.4521,78.3871,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0460,0.2923,0.1766,1.3017,1.3293,0.9341,1.1023,1.2303,1.2221
42.0508,8,5,20.9419,62.9919,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.4074,0.3228,0.7192,0.0913,,,,,
29.7428,10,3,13.5844,43.3264,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.2175,0.0565,,,,,,,
42.4397,8,8,50.7939,93.2329,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.2647,2.3938,0.6586,4.1862,2.8601,3.6197,3.5786,,
23.3953,10,3,16.9226,40.3176,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.1686,0.0621,,,,,,,
50.0378,7,5,28.1043,78.1413,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.1583,0.1637,0.6813,0.0237,,,,,
41.9075,8,8,34.8112,76.7182,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0894,1.2189,0.2396,3.1993,3.3043,2.9720,3.0864,,
43.1691,8,8,41.6581,84.8271,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.2040,0.8331,1.2200,0.8207,0.4155,0.2835,0.5328,,
36.1280,9,8,28.2149,64.3429,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.0508,0.2192,0.4117,0.2212,0.2908,0.6998,0.0421,,
55.5184,6,4,23.5770,79.0950,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.2780,0.4884,0.0442,,,,,,
40.2348,8,8,37.8086,78.0426,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.1097,1.0943,1.5246,0.4162,0.5322,0.2142,1.0853,,
28.7497,10,7,25.1588,53.9078,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.1068,0.2055,0.1403,1.6955,0.4086,0.0449,,,
59.6084,5,5,25.2089,84.8169,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.3133,1.8614,0.1779,0.0574,,,,,
44.1875,8,8,58.1526,102.3396,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0998,1.0793,0.6639,2.4858,2.5304,2.3894,2.6161,,
45.6850,8,8,34.3452,80.0302,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.1132,1.3592,0.1328,3.0653,2.4523,2.9287,3.1421,,
32.3880,10,10,58.2496,90.6366,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0510,0.6018,0.7246,2.0446,3.3901,3.9157,2.4855,2.6921,2.4192
47.0853,7,7,29.9687,77.0537,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.1443,0.1182,1.4188,1.0062,0.7429,1.3675,,,
48.5601,7,7,29.6975,78.2575,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0626,2.8322,2.3706,4.3864,3.8887,4.1498,,,
46.5995,7,7,28.6352,75.2342,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.1419,0.2131,0.3818,0.6304,1.6679,2.7298,,,
50.3004,7,7,35.7139,86.0139,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.1440,0.3286,0.3283,0.1502,0.8981,2.3699,,,
58.6256,5,5,20.8896,79.5345,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0967,0.1116,0.8735,2.0997,,,,,
53.8680,6,6,26.4531,80.3202,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.1372,0.2096,0.7191,1.1130,2.9302,,,,
