jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
33.0065,10,10,36.3411,69.3472,completed,81686.12,50226.82,0.1879,8.33,0.0000,0.4746,0.5750,0.5088,0.5554,0.7090,3.3292,5.1160,5.9773,5.1888
24.6952,10,3,11.2593,35.9543,converged,81688.04,50227.17,0.1868,8.34,0.0000,0.0370,0.0622,,,,,,,
53.8536,6,6,23.5860,77.4390,completed,81688.04,50227.17,0.1868,8.34,0.0000,1.3538,1.7333,1.6399,6.0240,8.1324,,,,
23.1187,10,10,49.6554,72.7735,completed,81689.85,50227.51,0.1914,8.34,0.0000,0.0458,0.1156,0.3352,0.3311,0.5836,1.7500,5.2064,5.5300,4.5059
45.5428,8,8,27.9986,73.5406,completed,81689.85,50227.51,0.1914,8.34,0.0000,1.3199,1.5151,1.6357,1.6730,3.5249,6.3496,6.3039,,
23.1398,10,3,9.9200,33.0590,converged,81692.14,50227.95,0.1937,8.34,0.0000,0.0498,0.0803,,,,,,,
57.5611,6,6,32.8642,90.4252,completed,81692.14,50227.95,0.1937,8.34,0.0000,1.1956,1.8521,2.2743,5.5816,7.8146,,,,
23.8366,10,3,17.2796,41.1157,converged,81694.33,50228.37,0.1921,8.33,0.0000,0.0620,0.0910,,,,,,,
39.3018,9,9,48.1449,87.4459,completed,81694.33,50228.37,0.1921,8.33,0.0000,0.2055,2.1622,9.8475,15.8020,3.3282,3.9132,6.4910,5.7839,
47.3204,7,7,41.2354,88.5555,completed,81696.42,50228.76,0.1946,8.33,0.0000,0.1094,0.1858,0.5228,1.6116,5.4563,6.6896,,,
41.9030,8,8,45.7015,87.6035,completed,81696.42,50228.76,0.1946,8.33,0.0000,0.9754,1.3291,1.7865,2.2168,3.4978,6.5632,6.3363,,
52.5259,6,3,9.6132,62.1382,converged,81699.26,50229.31,0.1938,8.34,0.0000,0.2113,0.0543,,,,,,,
24.1161,10,10,46.9405,71.0565,completed,81699.26,50229.31,0.1938,8.34,0.0000,0.2449,0.4402,0.6230,0.8023,0.7019,2.3934,5.2889,5.4335,4.5098
30.0122,10,3,10.5516,40.5636,converged,81701.35,50229.70,0.1858,8.33,0.0000,0.0451,0.0895,,,,,,,
42.6225,8,8,32.5556,75.1776,completed,81701.35,50229.70,0.1858,8.33,0.0000,0.2186,0.7526,1.2744,1.9891,2.5035,5.8793,6.5893,,
33.7030,10,3,14.9324,48.6355,converged,81703.37,50230.07,0.1863,8.33,0.0000,0.0320,0.0680,,,,,,,
31.5532,10,10,61.2293,92.7823,completed,81703.37,50230.07,0.1863,8.33,0.0000,0.1987,0.4730,1.3644,0.3231,2.1635,2.8528,4.5195,6.0611,5.4973
29.8849,10,3,13.0977,42.9817,converged,81705.84,50230.54,0.1917,8.34,0.0000,0.0406,0.0720,,,,,,,
45.1531,8,8,34.7023,79.8553,completed,81705.84,50230.54,0.1917,8.34,0.0000,0.6875,0.9898,1.0021,1.5835,3.7341,6.6938,6.6558,,
41.7183,8,8,32.1761,73.8941,completed,81707.62,50230.88,0.1925,8.34,0.0000,0.1439,0.3140,0.6290,0.7256,4.0018,6.9536,6.0429,,
39.8014,9,9,42.5220,82.3231,completed,81707.62,50230.88,0.1925,8.34,0.0000,0.5562,1.0764,1.4131,0.3825,2.3047,5.1639,6.9385,6.4981,
22.5171,10,10,40.9691,63.4861,completed,81709.95,50231.33,0.1928,8.34,0.0000,0.0809,0.1473,0.1870,0.1122,0.4054,2.4883,5.9454,6.0768,4.9721
56.7383,6,6,28.1770,84.9150,completed,81709.95,50231.33,0.1928,8.34,0.0000,0.9930,1.6356,2.5561,7.4164,8.6764,,,,
51.0720,7,7,27.3783,78.4504,completed,81712.13,50231.74,0.1881,8.34,0.0000,0.1908,0.3445,0.2359,1.0540,5.7700,7.3410,,,
23.3470,10,10,36.3193,59.6663,completed,81712.13,50231.74,0.1881,8.34,0.0000,0.3192,0.2426,0.5869,1.4169,2.3693,2.9151,5.5057,6.5407,5.8300
22.6853,10,10,34.5476,57.2326,completed,81714.32,50232.13,0.1834,8.34,0.0000,0.1083,0.1844,0.2043,0.1282,0.3415,1.9242,5.3907,6.1708,5.3289
25.3349,10,10,47.3454,72.6795,completed,81714.32,50232.13,0.1834,8.34,0.0000,0.5088,0.6811,0.6322,1.0606,0.5957,2.7175,5.7205,6.7049,5.7751
47.1726,7,7,25.5214,72.6935,completed,81716.51,50232.53,0.1809,8.34,0.0000,0.0795,0.2247,0.2172,0.8351,6.2697,7.6941,,,
29.9201,10,10,39.3635,69.2835,completed,81716.51,50232.53,0.1809,8.34,0.0000,0.2733,0.3713,0.4620,0.5495,0.6789,2.6553,6.0859,6.4963,5.5064
48.7033,7,7,27.8307,76.5337,completed,81718.70,50232.92,0.1813,8.33,0.0000,0.0664,0.2513,0.4975,1.4811,6.9734,7.7033,,,
29.7366,10,10,32.9696,62.7056,completed,81718.70,50232.92,0.1813,8.33,0.0000,0.1170,0.1881,0.3377,0.3536,0.3823,2.5328,6.1342,6.5714,5.4933
47.9341,7,7,24.4951,72.4291,completed,81721.05,50233.35,0.1828,8.33,0.0000,0.0676,0.2081,0.2388,0.9344,5.6856,7.6484,,,
41.0110,8,8,26.9816,67.9926,completed,81721.05,50233.35,0.1828,8.33,0.0000,0.2045,0.2794,0.5873,0.4827,3.1804,6.6961,7.4824,,
35.8287,9,4,13.9708,49.7988,converged,81723.34,50233.76,0.1823,8.34,0.0000,0.0708,0.1448,0.0685,,,,,,
45.6956,8,8,41.3868,87.0819,completed,81723.34,50233.76,0.1823,8.34,0.0000,0.1735,0.1019,0.2337,1.3029,2.9430,7.0238,7.8657,,
34.9406,9,9,37.4960,72.4360,completed,81725.79,50234.20,0.1817,8.33,0.0000,0.0780,0.1500,0.1733,0.4426,0.3070,4.7151,6.8594,6.3225,
27.8953,10,10,56.7139,84.6089,completed,81725.79,50234.20,0.1817,8.33,0.0000,0.2071,0.1645,0.1131,0.6439,0.4287,2.2918,5.6711,6.8499,6.0402
46.8569,7,3,16.0082,62.8642,converged,81728.11,50234.61,0.1841,8.33,0.0000,0.0424,0.0824,,,,,,,
53.0080,6,6,24.3954,77.4024,completed,81728.11,50234.61,0.1841,8.33,0.0000,0.4188,0.5557,0.6932,5.9806,9.1443,,,,
