jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
47.1645,7,7,46.5691,93.7331,completed,81514.79,50009.38,0.3441,0.89,0.0000,0.9227,0.8520,0.2972,2.6131,6.1952,6.7294,,,
44.6635,8,5,58.8829,103.5549,deadline,81515.06,50009.48,0.3389,0.78,0.0000,0.9054,0.4533,2.3968,0.3310,,,,,
42.8010,8,8,42.9063,85.7074,completed,81515.06,50009.48,0.3389,0.78,0.0000,0.0955,0.6187,3.0674,4.0486,1.6140,4.5710,5.8177,,
40.8010,8,8,46.5483,87.3483,completed,81515.30,50009.57,0.3357,0.71,0.0000,0.9120,0.7253,0.3907,1.4239,3.1243,6.3449,6.6003,,
49.0932,7,7,32.2653,81.3584,completed,81515.30,50009.57,0.3357,0.71,0.0000,0.4852,0.6064,0.1054,2.1686,5.0496,6.8811,,,
48.6680,7,7,32.2202,80.8883,completed,81515.51,50009.64,0.3355,0.78,0.0000,0.1862,0.2524,0.9272,3.0118,5.7436,6.9330,,,
27.2352,10,10,49.4206,76.6557,completed,81515.51,50009.64,0.3355,0.78,0.0000,0.0911,0.2548,0.4138,0.4009,0.9137,2.3121,4.4045,5.4753,5.0512
59.3917,5,5,22.9282,82.3192,completed,81515.75,50009.73,0.3327,0.76,0.0000,1.2453,0.9838,2.8360,7.2714,,,,,
30.1178,10,5,23.2035,53.3205,converged,81515.75,50009.73,0.3327,0.76,0.0000,0.0402,0.2833,0.2288,0.0438,,,,,
27.1235,10,10,44.5444,71.6674,completed,81515.93,50009.79,0.3299,0.68,0.0000,0.2684,0.2239,0.2532,0.2807,1.6152,2.1689,4.2450,5.5244,4.9835
56.3132,6,6,32.5741,88.8871,completed,81515.93,50009.79,0.3299,0.68,0.0000,0.4044,0.7929,1.3156,5.1915,7.4879,,,,
33.1096,10,10,36.3195,69.4286,completed,81516.12,50009.86,0.3278,0.66,0.0000,0.0323,0.3022,0.4457,0.8076,1.3062,2.1100,4.4732,5.5955,5.0684
50.6750,7,7,30.3797,81.0547,completed,81516.12,50009.86,0.3278,0.66,0.0000,0.4943,1.5914,2.2361,3.7020,6.8173,6.8736,,,
38.0228,9,4,11.9546,49.9766,converged,81516.29,50009.93,0.3242,0.59,0.0000,0.3793,0.3461,0.0352,,,,,,
21.1827,10,10,41.2520,62.4341,completed,81516.29,50009.93,0.3242,0.59,0.0000,0.0745,0.6461,0.8445,0.3483,0.4141,1.9225,3.7804,5.1656,4.8656
59.3010,5,5,18.8482,78.1492,completed,81516.41,50009.97,0.3223,0.53,0.0000,0.4643,0.6322,3.6906,7.5188,,,,,
36.2365,9,9,37.6502,73.8862,completed,81516.41,50009.97,0.3223,0.53,0.0000,0.2227,0.7061,1.0381,1.4466,2.4400,4.0103,5.9275,5.8480,
39.6318,9,9,34.1977,73.8288,completed,81516.55,50010.02,0.3201,0.58,0.0000,0.0375,0.1086,0.2117,0.3709,1.0437,3.0153,5.3729,5.4184,
