jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
54.1673,6,6,31.7375,85.9046,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.0787,0.1019,0.2125,2.4300,4.6221,,,,
52.1723,6,6,24.0123,76.1844,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.0998,0.7899,2.0697,0.3138,3.1719,,,,
32.4052,10,10,32.0736,64.4786,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.0944,0.2287,0.4242,0.4148,1.4995,3.3264,3.8588,4.4988,4.3858
43.3597,8,8,25.9487,69.3077,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.0405,0.1505,0.1199,0.6625,2.5524,4.1326,4.6127,,
35.6087,9,3,10.0778,45.6858,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0400,0.0851,,,,,,,
47.6770,7,7,24.0418,71.7179,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.0930,0.1165,0.6067,0.7628,2.7046,4.1196,,,
54.6915,6,6,22.7589,77.4499,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.1205,0.5913,1.9554,0.2835,3.2764,,,,
26.9108,10,3,11.1265,38.0365,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0386,0.0552,,,,,,,
41.0738,8,8,27.1052,68.1782,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.0592,0.1692,0.1109,0.5104,2.2464,4.1311,4.4779,,
40.3279,8,8,27.8017,68.1287,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.0798,0.2042,1.0649,0.7261,0.4576,2.6994,3.4260,,
33.3399,10,10,48.0135,81.3525,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.0517,0.1654,0.3142,0.1956,0.6835,2.5868,3.7311,4.3548,4.0246
34.3457,9,3,10.3354,44.6805,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0506,0.0525,,,,,,,
28.9239,10,4,11.9533,40.8764,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0407,0.1047,0.0944,,,,,,
56.4462,6,6,20.5325,76.9785,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.0666,0.2371,0.5874,1.6539,4.1509,,,,
52.5076,6,6,32.4506,84.9577,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.1011,0.3329,0.5841,3.6969,5.3972,,,,
54.1596,6,3,10.1531,64.3121,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0879,0.0528,,,,,,,
48.8529,7,7,25.1763,74.0283,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.1174,0.3334,0.2239,1.7418,3.2859,4.9185,,,
59.5985,5,5,18.4669,78.0649,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.1760,0.8332,0.6608,3.6932,,,,,
44.0952,8,3,9.0669,53.1620,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0590,0.0648,,,,,,,
41.0008,8,8,25.0103,66.0103,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.0766,0.1629,0.8118,0.4996,1.2010,3.2077,3.7432,,
47.8052,7,7,27.1994,75.0044,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.0664,0.1352,0.8046,1.1961,2.9435,4.2972,,,
22.9116,10,3,10.2690,33.1800,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0385,0.0488,,,,,,,
57.2400,6,6,21.9405,79.1805,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.1837,0.4315,0.5056,3.5405,5.3425,,,,
25.1589,10,10,33.2519,58.4100,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.0473,0.1206,0.1286,0.3129,0.6151,2.3609,3.1222,3.9020,3.8263
49.1945,7,7,23.7457,72.9397,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.0812,0.1626,0.8410,0.7855,3.1632,4.1868,,,
32.9876,10,10,32.5324,65.5194,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.1167,0.2297,0.2212,0.2263,0.2652,1.4339,3.5037,5.1151,5.3252
39.4676,9,9,32.0051,71.4721,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.2674,0.4281,0.5065,0.4684,1.4991,4.0904,6.1951,6.4838,
43.9897,8,8,27.8031,71.7922,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.3670,0.5835,1.0299,1.0312,3.1481,6.1410,7.7284,,
43.8358,8,8,25.3954,69.2305,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.3994,0.6882,1.0487,0.6607,3.3093,6.7191,7.4018,,
38.0375,9,9,37.8833,75.9204,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.1170,0.2319,0.3882,0.5030,1.4980,3.4890,5.7268,5.7841,
32.0100,10,10,32.5777,64.5878,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.0555,0.1325,0.2046,0.2069,1.1522,2.7267,3.4255,4.3960,4.3175
45.9864,8,3,8.9240,54.9100,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0610,0.0900,,,,,,,
26.4566,10,10,31.4463,57.9024,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.1015,0.1614,0.5041,1.7574,1.8424,0.9396,1.2419,2.4617,2.3912
42.7470,8,3,9.2951,52.0412,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0420,0.0649,,,,,,,
58.0377,5,5,18.9426,76.9797,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.0963,0.4147,0.9745,3.9654,,,,,
38.1690,9,4,13.1527,51.3217,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0400,0.1183,0.0799,,,,,,
43.8987,8,3,8.9006,52.7987,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0536,0.0926,,,,,,,
22.9875,10,5,14.8076,37.7946,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0499,0.1160,0.1303,0.0989,,,,,
42.2743,8,8,27.1425,69.4165,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.0610,0.1021,0.9199,1.6924,0.6561,2.5268,3.2762,,
37.0449,9,9,30.3333,67.3773,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.1430,0.4378,0.2311,0.2103,2.0085,2.7024,4.0201,4.4811,
23.8088,10,3,9.3125,33.1206,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0461,0.0394,,,,,,,
39.4148,9,3,10.1536,49.5677,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0426,0.0525,,,,,,,
36.0839,9,3,9.0765,45.1595,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0375,0.0608,,,,,,,
41.5964,8,3,8.9714,50.5674,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0573,0.0787,,,,,,,
48.7703,7,7,22.4113,71.1813,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.0702,0.1340,0.5529,1.4630,3.2995,4.6630,,,
41.6682,8,3,9.5027,51.1707,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0490,0.0474,,,,,,,
