jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
59.815,5,5,22.0834,81.8974,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1368,0.8435,0.7062,3.6287,,,,,
55.6233,6,6,21.0511,76.6742,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1165,0.3008,0.8537,4.0757,5.7315,,,,
38.4862,9,4,11.6324,50.1185,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0482,0.1027,0.0896,,,,,,
39.7596,9,3,9.1336,48.8926,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0388,0.0671,,,,,,,
27.9260,10,10,31.2254,59.1514,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0336,0.1013,0.2784,0.2934,1.3083,3.0545,4.3309,4.8780,4.3446
26.1637,10,3,11.9909,38.1540,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0465,0.0995,,,,,,,
26.3471,10,3,10.1340,36.4811,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0657,0.0703,,,,,,,
36.4573,9,3,8.9423,45.3994,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0504,0.0515,,,,,,,
44.6443,8,8,25.6527,70.2967,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0909,0.1762,0.2011,0.1813,2.0166,3.5746,4.4133,,
29.8925,10,3,8.6421,38.5342,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0389,0.0831,,,,,,,
25.6500,10,5,14.4074,40.0574,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0520,0.1253,0.1273,0.0954,,,,,
50.6926,7,7,23.8860,74.5780,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.2001,0.6805,8.5035,10.3516,2.9070,0.7932,,,
47.5069,7,4,12.5191,60.0252,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0828,0.3151,0.0700,,,,,,
56.7891,6,6,21.0769,77.8660,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0598,0.1125,0.5231,2.2782,4.6414,,,,
41.5824,8,8,25.5856,67.1676,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0488,0.1136,0.2231,0.2472,1.9330,3.4854,4.3513,,
56.5107,6,3,9.4176,65.9277,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0616,0.0516,,,,,,,
51.4446,7,7,28.3991,79.8431,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1226,0.3604,1.1017,0.3556,2.4389,3.9871,,,
34.1103,9,8,23.0626,57.1727,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.1317,0.2654,1.1946,11.3924,15.3555,1.9271,0.0823,,
29.8997,10,3,9.2434,39.1425,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0627,0.0503,,,,,,,
29.6097,10,10,31.5788,61.1878,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1444,0.2640,0.7466,3.0901,6.6191,3.5009,0.4843,1.8340,1.9522
51.6981,7,7,26.1558,77.8539,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0593,0.2015,0.1748,2.0943,3.7998,5.1683,,,
53.8939,6,6,20.7342,74.6272,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0614,0.1407,0.5419,2.3282,4.6929,,,,
23.2079,10,3,10.1046,33.3116,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0346,0.0786,,,,,,,
26.2171,10,3,9.1099,35.3270,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0374,0.0590,,,,,,,
45.9573,8,8,26.6945,72.6515,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0631,0.1480,0.1192,0.3662,2.8997,4.2786,4.6642,,
37.9928,9,9,28.7231,66.7151,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1467,0.3083,0.6287,1.1000,2.1162,4.6811,6.5784,6.5495,
54.3230,6,6,21.5039,75.8260,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.3077,0.5780,0.6566,3.5837,7.1423,,,,
27.6376,10,10,32.7665,60.4035,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1822,0.3062,0.3224,0.3359,0.3725,2.1209,4.5761,6.3626,6.5358
21.0216,10,5,15.6884,36.7095,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.1655,0.2604,0.1687,0.0919,,,,,
26.1015,10,4,12.1686,38.2696,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0686,0.1248,0.0696,,,,,,
21.0921,10,3,9.5104,30.6024,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0372,0.0596,,,,,,,
41.1244,8,8,26.4919,67.6160,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0709,0.1698,0.8473,0.5706,1.1886,3.1227,3.7290,,
54.2739,6,6,20.2919,74.5649,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.2328,1.0282,5.6783,1.6945,2.2069,,,,
30.7105,10,3,9.1266,39.8366,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0365,0.0521,,,,,,,
59.7072,5,5,17.3783,77.0853,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0594,0.8038,1.0280,4.1904,,,,,
56.5500,6,6,20.5211,77.0701,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0662,0.4086,1.2411,0.8739,3.8304,,,,
33.6092,10,10,42.2460,75.8551,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.1331,0.2453,0.7684,6.3833,12.9955,5.3439,0.2969,1.0851,1.1520
21.4789,10,3,9.3580,30.8361,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0848,0.0919,,,,,,,
41.4778,8,4,11.5346,53.0116,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0844,0.2099,0.0570,,,,,,
39.0158,9,3,9.2315,48.2466,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0364,0.0633,,,,,,,
44.4198,8,8,32.7484,77.1675,completed,3641.81,73717.62,-2.0579,0.00,0.0000,0.0822,0.1295,0.3249,0.4143,1.9541,3.5027,4.3427,,
27.3509,10,3,9.5975,36.9475,converged,3641.81,73717.62,-2.0579,0.00,0.0000,0.0485,0.0469,,,,,,,
